N;Artista;Album;Genero;Duracao;Rating;Chave I;Chave II
124;The Kilimanjaro Dark Jazz Essemble;Here Be Dragons;Trip-Hop/ Jazz;55,21;10;3,6;6,1
125;Seventh Void;Heaven Is Gone;Doom/ Stoner Metal;42,26;7,5;1;1,7
126;The Third Eye Foundation;The Darkness;Trip-Hop;43,04;10;6;6,1
127;Three Leg Dog;Red Sun;Stoner Metal;45,56;8,25;1;1,6
128;The Dreadnoughts;Polka's Not Dead;Polk Folk Punk;32,56;9;8;
129;Viza;Made In Chernobyl;Folk Rock;39,34;7;5,8;
130;Cunninlynguists;A Piece Of Strange;Hip-Hop/ Rap;54,13;8,75;2;2,1
131;Onra;Chinoiseries;Boom Bap/ Hip Hop;62,34;8,75;2;
132;Harakiri For The Sky;III:Trauma;Post Black Metal;75,13;9;1;1,8
133;Kurt Travis;Everything Is Beautiful;Indie;41,33;7;13;
134;Laura Misch;Playground;Nu Jazz;19,56;8;3;2,3
135;Mastodon;Emperor Of Sand;Progressive Metal;51,13;9;1;1,3
136;Stoner Train;Hobo From Outer Space;Stoner Metal;31,21;8;1;1,6
137;Uyama Hiroto;Freeform Jazz;Nu Jazz;51,22;8,25;3;2,3
138;Paradise Lost;The Plague Within;Gothic/ Doom Metal;59,31;8,75;1;1,9
139;Trees Of Eternity;Hour Of The Nightingale;Gothic/ Doom Metal;62,42;8,25;1;1,9
140;The Devil And The Almighty Blues;II;Stoner Metal;47,51;7,25;1;1,6
141;Djelmash;Crossroads;Progressive Metal;20,33;8,5;1;1,3
142;Red Fang;Only Ghosts;Stoner Metal;41,22;9;1;1,6
143;The Sword;Low Country;Stoner Rock;31,26;9;5;5,3
144;Cathedral Ring;A Decade Alone On The Alps;Post Rock;58,13;7;5;5,2
145;SiamÇs;Bounce Into The Music;Indie/ Pop;35,51;9;13;
146;Atlantis Chronicles;Barton's Odyssey;Melodic/ Progressive Death Metal;41,32;8,75;1;1,1
147;The Ugly Kings;Of Sins;Blues/ Rock;32,00;8,75;10,5;
148;Ex People;Bird;Stoner Rock;42,43;8,75;5;5,3
149;David L. Harris;Blues I Felt;Jazz;64,02;9;3;3
150;Moondog;The German Years;"""Neocl†ssico""";65,14;10;13;
151;The Black Heart Procession;One;Indie;48,07;8;13;
152;Papa Roach;Crooked Teeth;Nu Metal;48,00;5;1;1,2
153;Silent Alarm;Bloc Party;Alternative Rock;54,05;8;5;
154;Shades Of Black;Ocean;Progressive/ Deathcore;54,24;8,75;4;4,2
155;The Algorithm;Brute Force;Eletronicore;46,06;8,5;4;4,3
156;Parov Stellar;Collection;Eletroswing;38,43;8;13;
157;Aurora;All My Demons Greeting Me As A Friend;Pop;65,10;8,75;13;
158;Alter Bridge;Blackbird;Post Grunge;59,13;8,75;13;
159;Russian Circles;Station;Post Rock;43,28;6,75;5;5,2
160;16 Horsepower;Low Estate;Dark Country;49,39;9,5;13;
161;Before I Turn;The Virus;Deathcore;36,57;8,5;4;4,2
162;Dead Can Dance;Anastasis;Neocl†ssico;56,24;8,75;13;
163;Church Of The Cosmic Skull;Is Satan Real?;Stoner/ Progressive Rock;34,42;8,75;5;5,1
164;Portishead;Selftitled;Trip Hop;50,31;10;6;6,1
165;The Last Sighs Of The Wind;We Are Trees;Post Rock;50,12;8,5;5;5,2
166;Degiheugi;Endless Smile;Nu Jazz/ Hip Hop;58,06;9,9;2,3;2,3
167;Damu The Fudgemunk;Sparetime;Nu Jazz;70,53;8;3;2,3
168;Big Bad Voodoo Daddy;Americana Deluxe;Swing/ Blues;50,01;9;10;
169;Yeseo;Million Things;K-pop;28,38;8,25;13;
170;Mark Farina;Mushroom Jazz;Nu Jazz;70,39;6,5;3;2,3
171;Dj Okawari;Compass;Nu Jazz;44,22;8,75;3;2,3
172;Osi And The Jupiter;Uthuling Hyl;Neofolk;51,41;7;8;
