N;Artista;Album;Genero;Duracao;Rating;Chave I;Chave II
701;Blackbird Raum;False Weavers;Folk Punk;40,09;9,9;8;
702;Cluster;Qua;Eletrìnica/ Experimental;54,50;9,9;13;
703;The Devil Makes Three;Selftitled;Folk/ Country/ Bluegrass;43,10;10;8;
704;Bar Kokhba Sextet;Lucifer: Book Of Angels Vol. 10;Jazz Fusion;54,46;10,25;3;
705;Clyde And The Milltailers;Selftitled;Folk/ Punk/ Bluegrass;30,54;7,5;8;
706;Shiva The Destructor;Find The Others;Metal Progressivo/ PsicodÇlico;44,35;9,5;1;1,3
707;Sun Crow;Quest For Oblivion;Doom Metal;70,28;8;1;1,7
708;DBUK;Songs One Through Eight;Dark Country;41,06;7,5;13;
709;Sleep;Holy Mountain;Stoner Metal;58,11;9,25;1;1,6
710;Blackgrass;Hope;Folk/ Dark Country/ Bluegrass;56,14;8,75;8;
711;Munly & The Lupercalians;Selftitled;Folk/ Dark Country/ Bluegrass;47,48;9,9;8;
712;Jay Munly;Jimmy Curter Syndrome;Dark Folk;69,00;10,1;8;
713;My Pizza My World;Eat It!;Bluegrass Punk/ Folk;21,03;9;8;
714;Atrocity Solution;Lost Remedies;Ska Punk;63,24;9;13;
715;Rail Yard Ghosts;Blackgrass;Bluegrass Punk/ Folk;50,40;9,75;8;
716;IAH;III;Doom Metal;55,02;10;1;1,7
717;Urfaust;Compilation Of Intoxications;Black Metal/ Experimental;44,02;11;1;1,8
718;Blackgrass Gospel;Selftitled;Bluegrass;31,06;7;8;
719;Murder By Death;Like The Exorcist But More Like Breakdancing;Post Rock;37,36;8,75;5;5,2
720;Burton, Corea, Metheny, Haynes & Holland;Like Minds;Jazz;68,23;9,25;3;
721;Bruton Music;Soft Illusions;Jazz Fusion;44,20;9,75;3;
722;Spectral Wound;A Diabolic Thirst;Black Metal;40,15;9,25;1;1,8
723;Maurice Brown;The Mood;Jazz;62,11;9;3;
724;Haruka Nakamura;Still Life;Instrumental;54,22;10;13;
725;We The Heathens;Selftitled;Folk Punk;45,11;9,9;8;
726;Aoratos;Gods Without Name;Black Metal;44,50;7;1;1,8
727;Spyro Gyra;Carnaval;Jazz Fusion;40,05;10;3;
728;Orquestra Ritmo De S†banas;El Pechug¢n;Salsa;25,12;8,5;13;
729;Made In M & Walterwarm;Fungus;Lo-Fi;39,54;9;2;2,2
730;Deodato;First Cuckoo;Funk;40,16;8;9;
731;Jan Jelinek;Loop Finding Jazz;Glitch/ Techno Minimalista;51,56;8;13;
732;Naked City;Radio;Free Jazz/ Breakcore/ Metal Progressivo;57,21;10,5;3;
733;Fire On Fire;The Orchard;Country/ Folk;62,18;8,25;8;
734;Macintosh Plus;Floral Shoppe;Vaporwave;38,15;10;13;
735;Devon Lamarr Organ Trio;I Told You So;Jazz/ Funk;41,29;10;3,9;
736;Ryusenkei;Tokyo Sniper;Jazz Fusion;46,40;8;3;
737;Born Idiot;Full Time Bored;Indie;40,00;7;13;
738;L'ImpÇratrice;Tako Tsubo;Jazz Fusion;48,15;10;3;
739;The Data Waves;Revolution;Jazz Fusion/ Funk/ Dub;28,45;8,25;3,9;
740;Meltt;Swim Slowly;Indie;40,32;7;13;
741;Keygen Church;In Absentia Lucis Tenebrae;"Synthwave/ ""G¢tico""";60,35;8;11;
742;Cultifact;Worshipers;Post Metal Progressivo;25,25;8,5;1;1,3
743;La Femme;Paradigmes;Pop Rock;53,55;7,25;5;
744;Black Marble;A Different Arrangement;Synth Pop;37,08;8;11;
745;Iliad;Sapphire House;Jazz/ Funk;45,16;9,9;3,9;
746;El Kanka;El D°a De La Suerte De Juan G¢mez;Pop/ Folk;48,06;8,75;13;
747;Masayoshi Takanaka;All Of Me;Jazz Fusion;71,40;8,5;3;
748;Kollektiv;Selftitled;Kraustrock/ Jazz Fusion;68,54;8,75;3;
749;Tokyo Green;Save Your Speeches;Jazz Fusion;44,22;8,75;3;
750;Mephorash;Shem H† Mephorash;Black Metal;74,03;9,25;1;1,8
751;Poolside;Contact High Mixtape;Chillwave/ Eletrìnico;60,31;8,75;13;
752;Lamb Of God;Selftitled;Death Metal/ Hardcore;44,47;8,5;1;1,9
753;Septicflesh;Communion;Symphonic Death Metal;38,12;8,5;1;1,9
754;Still Corners;Slow Air;Indie;40,43;7,25;13;
755;Mudvayne;Lost And Found;Alternative Metal;54,00;9,9;1;1,9
756;Gojira;Fortitude;Death Metal;54,24;9,9;1;1,9
757;Awon & Phoniks;Knowledge Of Self;Hip Hop/ Rap;54,00;10;2;2,1
758;Radio Juicy;The Chronic;Nu Jazz/ Hip Hop;107,00;10;2,3;2,3
759;Frente Bolivarista ;Vol. 4 Nìmades;Trip Hop/ Chill House;79,19;10,1;6;6,2
760;Health;Vol. 4 Slaves Of Fear;Witch House;31,00;8;13;
761;White Noise Black Void;Reject;Trip Hop/ Hip Hop;22,51;10,5;6;6,1
762;Dated;The Weather Channel 2;Lo-Fi;57,00;11;2;2,2
763;John Zorn, Mike Patton & Ikue Mori;Hemophiliac;Free Jazz;63,11;8,25;3;
764;Babes In Toyland;Spanking Machine;Punk;36,12;9;4;
765;Churupaca;Selftitled;Salsa/ Tango?;51,12;10;8;
766;Grover Whashington Jr;Mister Magic;Jazz/ Funk;33,08;9,75;3,9;
767;Moda & Dan;Thäse/ Anti-Thäse;Hip Hop/ Rap;63,44;10;2;2,1
768;Soko;I Thought I Was An Alien;Indie;45,07;9,9;13;
769;Lemon Demon;Spirit Phone;Synthpop/ New Wave;103,24;10,1;11;
770;érsenik;Le Meilleur De L'érsenik;Hip Hop/ Rap;37,18;9,9;2;2,1
771;Wardruna;Ragnarok;Folk;50,59;7;8;
772;Oxmo Puccino;L'Amor Est Mort;Hip Hop/ Rap;71,31;10,1;2;2,1
773;ôzgÅr Baba, Gîkáe Es & Briken Aliu;HemhÉl Ol'anlar;Folk;108,46;10,1;8;
774;Nubya Garcia;Nubya's 5ive;Jazz;48,15;10;3;
775;Black Pistol Fire;Look Alive;Indie Rock;40,02;9,5;5;
776;Torch Runner;Endless Nothing;Grindcore;22,11;8;4;4,2
777;Hilltop Hoods;Drinking From The Sun;Hip Hop/ Rap;45,30;9,9;2;2,1
778;Eos;The Great Ascension;Black Metal;34,54;9,9;1;1,8
779;Spiritbox;Selftitled;Djent/ Metal progressivo;29,33;10;1;1,5
780;The Devil Wears Prada;The Act;Metalcore;40,42;7,25;1;1,4
781;Mark Feldman & Sylvie Courvoisier;Book Of Angels Vol. 3 Malphas;Neocl†ssico;46,55;11;13;
782;Shin-Ski;Planetarium;Nu Jazz;51,26;11;2;2,3
783;Opeth;Damnation;Metal Progressivo;43,31;10,1;1;1,3
784;Chet Baker Quartet;No Problem;Jazz;51,41;9;3;
785;Transistor;OST;Soundtrack;72,52;10;12;
786;Dirtythree;Street Sketches;Nu Jazz/ Hip Hop;35,00;8,75;2;2,3
787;Dead Fish;Zero E Um;Hardcore;37,27;10;4;4,1
788;Resolved Dissonance;Never Been;Nu Jazz/ Hip Hop;29,05;10;2;2,3
789;Cyne;Time Being (Deluxe Edition);Nu Jazz/ Hip Hop/ Rap;91,30;10,25;2;2,3
790;Hail The Villain;Population Declining;Alternative Metal;42,54;10;1;1,9
791;Three Days Grace;One-X;Alternative Metal;39,20;9,9;1;1,9
792;Nomak;Dynamic Meditation;Nu Jazz/ Hip Hop;43,01;10,1;2;2,3
793;Kondor;Peace Of Soul;Nu Jazz/ Hip Hop;50,00;10,1;2;2,3
794;Black Alien;Ano Do Macaco;Hip Hop/ Rap;43,30;10,1;7,2;2,1
795;Shiki;OST;Soundtrack;71,21;10,5;12;
796;KRBL Rebel Radio;Selftitled;Hip Hop/ Rap;52,16;10;2;2,1
797;Nieve;Playback;Hip Hop/ Rap;53,06;10;2;2,1
798;Michita;Dawning;Nu Jazz;67,14;11;2;2,3
799;Bastion;OST;Soundtrack;61,00;10;12;
800;Furi;OST;Soundtrack;93,12;8,75;12;
801;Gangrena Gasosa;Gente Ruim S¢ Manda Lembranáa Pra Quem N∆o Presta;Sarava Metal/ Death Metal;33,42;9,9;7,1;1,9
802;Koma;Le RÇveil;Hip Hop/ Rap;61,34;10,1;2;2,1
803;Imminence;Turn The Light On;Melodic Deathcore;54,12;9,5;1,4;1,4
804;Yin Yin;The Rabbit That Hunts Tigers;Funk Fusion;43,46;9;9;
805;Bonobo;Black Sands;Trip Hop;53,20;10,25;6;6,1
806;Mark Feldman, Sylvie Courvoisier & Ned Rothenberg;In Cahoots;Neocl†ssico;62,35;10,75;13;
807;Emancipator;Dusk To Dawn;Trip Hop;44,22;9,75;6;6,1
808;Wolfgang Haffner;Kind Of Cool;Jazz;60,04;9,75;3;
809;Vinnie Paz;Burn Everything That Bears Your Name;Hip Hop/ Rap;69,41;8;2;2,1
810;The Bridge City Sinners;Selftitled;Bluegrass/ Punk;27,00;10;8;
811;Massive Attack;Mezzanine;Trip Hop;63,46;10,1;6;6,2
812;Air;Moon Safari;Trip Hop;43,47;9,9;6;
813;Erik Jackson;Almost Dark;Nu Jazz;40,19;10,1;2,3;2,3
814;Pertubator;Lustful Sacraments;Synthwave/ Post Punk/ Industrial;46,53;10;11;
815;Rise Against;Nowhere Generation;Post Hardcore;38,00;6,5;4;4,1
816;Of Mice And Men;Bloom & Timeless Eps;Post Metalcore;25,06;10;1;1,4
817;Bloodborne;OST;Soundtrack;108,32;10;12;
818;Raujika;Lost Imagination;Nu Jazz;39,24;10,1;2,3;2,3
819;De De Mouse;Nulife;Nu Jazz/ Future Bass;37,18;10,25;2,3;2,3
820;Serph;Plus Ultra;Nu Jazz/ Progressivo/ Future Bass;61,42;10,25;2,3;2,3
821;King Crimson;In The Court Of King Crimson;Rock Progressivo;67,44;10,25;5;5,1
822;Pendulum;Hold Your Colour;Drum n' Bass;76,27;8;13;
823;Crypt Of The Neurodancer;OST;Soundtrack;117,09;9;12;
824;Kashiwa Daisuke;Re:RED;Breakbeat;69,31;8;13;
825;Ayur;Beautiful Field;Nu Jazz;35,30;10,5;2,3;2,3
826;The Prodigy;The Day Is My Enemy;Drum n' Bass/ Breakbeat;60,28;8;13;
827;Porcupine Tree;Deadwing;Metal Progressivo;59,42;10,1;1;1,3
828;Ned Rothenberg;Intervals;Jazz;115,42;9,9;3;
829;Dark Souls;OST;Soundtrack;99,05;9,9;12;
830;Animal As Leaders;Selftitled (Encore Edition);Metal Progressivo/ Djent;66,01;9;1;1,3
831;Depeche Mode;Violator;Synthpop;42,06;8,75;11;
832;MHz;Table Scraps;Hip Hop/ Rap;67,15;10;2;2,1
833;Genelec & Memphis Reigns;Scorpion Circles;Hip Hop/ Rap;69,11;10;2;2,1
834;Souls Of Mischief;Trilogy: Conflict, Climax, Resolution;Hip Hop/ Rap;66,30;8;2;2,1
835;Otso;Start Over;Glitch Hop/ Nu Jazz;38,54;10;2,3;2,3
836;MF Doom;Mm... Food;Hip Hop/ Rap;49,10;9,75;2;2,1
837;Hieroglyphics;The B-Sides Mix;Hip Hop/ Rap;56,58;8,25;2;2,1
838;Dela;Atmosphere Airlines Vol. 1;Hip Hop/ Rap;55,18;8,75;2;2,1
839;RZA;Afrosamurai;Hip Hop/ Rap;62,02;8;2;2,1
840;A June;Soul Store;Nu Jazz/ Hip Hop/ Rap;75,54;9;2;2,1
841;Diversos*;The Best Of Jazzin' For Ghibli;Nu Jazz;54,19;9,75;2,3;2,3
842;Currents;The Way It Ends;Metalcore Progressivo;38,51;9,25;1;1,4
843;Within Destruction;Yokai;Deathcore Progressivo;40,06;9;4;4,2
844;Periphery;Hail Stan;Metal Progressivo;63,34;10;1;1,3
845;Viro The Virus;Frist;Hip Hop/ Rap;21,39;9,75;2;2,1
846;Darko;Selftitled;Deathcore;44,51;9;4;4,2
847;Spectacular Diagnostics;Natural Mechanics;Nu Jazz/ Hip Hop/ Rap;25,57;9,5;2,3;2,1
848;Various;Blue Note Reimagined;Nu Jazz/ Funk;84,22;9,9;2,3;2,3
849;Deviloof;Devil's Proof;Deathcore;39,07;7,5;4;4,2
850;Annisokay;Aurora;Post Metalcore;47,59;8;1;1,4
851;Hollow Front;Loose Threads;Melodic Deathcore;41,53;9,75;4;4,2
852;In Other Climes;Leftover;Hardcore;39,20;10;4;4,1
853;Loathe;I Let It In And It Took Everything;Post Metal Progressivo;49,20;9,9;1;1,3
854;Tom Misch;Beat Tape 1;Nu Jazz/ Hip Hop;46,18;10;2,3;2,3
855;Snarky Puppy;Immigrance;Jazz Fusion;48,24;11;3;
856;Quiet;...And So It Was;Metal Progressivo;44,52;10;1;1,3
857;Niech??;?mier? W Mi?kkim Futerku;Jazz/ Freeform;39,57;10;3;
858;NES;Ahlam;Jazz Fusion/ Folk;41,43;9,9;3,8;
859;Dealer;Soul Burn;Deathcore/ Hardcore;18,39;9;4;4,2
860;Colors Unseen;Vivid;Djent/ Metal progressivo;22,30;8,75;1;1,3
861;Prefuse 73;The Failing Institute Of Season Nß2;Experimental;49,04;8,75;13;
862;Mental Cruelty;A Hill To Die Upon;Black Metal;43,19;8,5;1;1,8
863;Defamed;Aeon;Deathcore;24,12;8;4;4,2
864;Skyzoo;All The Brilliant Things;Nu Jazz/ Hip Hop/ Rap;55,50;8,75;2,3;2,1
865;Landmvrks;Lost In The Waves;Post Hardcore;31,29;9,9;4;4,1
866;LEALL;Esculpido A Machado;Hip Hop/ Rap;27,45;10;7,2;2,1
867;Presto;Magic;Nu Jazz/ Hip Hop/ Rap;61,27;9,9;2;2,1
868;Polaris;The Death Of Me;Post Metalcore;41,46;7,25;1;1,4
869;Power Trip;Nightmare Logic;Trash Metal;32,50;9;1;1,9
870;Redzed;Gerd;Trap;26,33;9;2;2,1
871;MC Solaar;Prose Combat;Hip Hop/ Rap;49,56;10;2;2,1
872;Painkiller;Execution Grounds;Jazz/ Experimental;83,42;10,5;3;
873;Ta-ku;25 Nights For Nujabes;Nu Jazz;63,12;11;2,3;2,3
874;Bugseed;E.S.T.;Nu Jazz;29,50;10,75;2,3;2,3
875;Coccolino Deep;Before Sunrise;Chill House;65,13;7;13;
876;Bsd.u;Lighter;Lo-Fi;29,41;10,75;2,2;2,2
877;Laibach;Laibachkunstderfuge;Experimental;79,28;10,5;13;
878;Laibach;Jesus Christ Superstar;Industrial/ Experimental;46,48;10,5;13;
879;Kenmochi Hidefumi;Fallicia;Jazz;50,06;10,5;3;
880;BEK;???????? ?????;Folk;40,48;10;8;
881;Kenichiro Nishihara;Diversos;Nu Jazz;216,35;11;2,3;2,3
882;Within Temptation;The Heart Of Everything;Alternative Metal;90,00;8;1;1,9
883;Chimaira;The Impossibility Of Reason;Alternative Metal;59,17;7;1;1,9
884;Dry Kill Logic;The Dead And Dreaming;Alternative Metal;37,07;9;1;1,9
885;FKJ;Ylang Ylang;Nu Jazz;19,11;8,75;2,3;2,3
886;Rahsaan Roland Kirk;Prepare Thyself To Deal With A Miracle;Jazz;43,33;9,25;3;
887;Los Espiritus;Gratitud;Funk/ Folk;47,12;8,5;9,8;
888;Rodrigo Ogi;Crìnicas Da Cidade Cinza;Hip Hop/ Rap;55,31;8;7,2;2,1
889;Glass Animals;How To Be Human;Indie;47,00;9,9;13;
890;Americam Head Charge;The War Of Art;Nu Metal;67,55;8,5;1;1,2
891;Adjacent To Nothing;Selftitled;Alternative Metal;38,28;9;1;1,2
892;Tour De Manäge;Vol. 4 The Wizards;Nu Jazz/ Trip Hop;90,47;9,75;6;6,1
893;Minus;Structure Of Simplicity;Alternative Metal;43,28;8;1;1,2
894;The Sound And The Fury;Another Stage;Alternative Metal;47,42;9,9;1;1,2
895;Tallman;Mechanism;Alternative Metal;52,55;7,75;1;1,2
896;Al'tarba;Le Cabinet Des CuriositÇs Vol. 1;Hip Hop/ Trip Hop;49,52;9,75;2,6;2,3
897;Brane;The Artificial Picture;Post Grunge;45,31;7,5;1;1,9
898;Dmanufacture;Alone I Fall;Post Grunge;44,30;7,5;1;1,9
899;Takako Mamiya;Love Trip;City Pop;41,05;10;13;
900;Gabriel Mzero;Remixes;Lo-Fi;62,00;10;2;2,2
901;Droogz Brigade;Projet Ludovico;Hip Hop/ Rap;69,03;8,25;2;2,1
902;Arvid HÑggstrîm;Celestial II;Eletrìnica/ Hip Hop/ Trap;91,18;9,9;2;
903;Potsu;Just Friends;Nu Jazz/ Lo-Fi;51,48;10;2;2,3
904;Unlike Pluto;Loud Fantasy, Quiet Reality;Pop;49,07;8;13;
905;Ctrl-Alt-Del;Selftitled;Alternative Metal;39,10;9,9;1;1,2
906;I.N.C.H. Beats;I.N.C.H.'s Nappage Nocturne;Hip Hop/ Rap;65,00;9,9;2;2,1
907;Dry Cell;Disconnected;Nu Metal;40,25;9;1;1,2
908;Five Bolt Main;Venting;Alternative/ Nu Metal;43,59;9,9;1;1,2
909;Frizzy P & Mr. Cole;Ladi Dadi;Trip Hop;14,28;10;6;6,1
910;Swallow The Sun;Moonflowers;Doom/ Gothic Metal;53,11;9;1;1,7
911;Sion;Selftitled;Metalcore;44,50;9;1;1,4
912;Sebutones;50/50 Where It Counts;Hip Hop/ Rap/ Industrial;65,43;10,1;2;6,2
913;Bad Omens;Finding God Before God Finds Me;Metalcore;42,20;10;1;1,4
914;One True God;Quarantined Mix 2020;Industrial/ Synthwave/ Trap;44,58;10;11;
915;Monodrone;Spend The Night In The City;City Pop/ Vaporwave;57,20;10,1;13;
916;Missio;Loner;Eletrìnica/ Pop;41,26;10;13;
917;Yamandu Costa, Martin Sued e Lu°s Guerreiro;Caminantes;Neocl†ssico;39,52;10,5;13,7;
918;Painkiller;Duty Freak;Psytrance;73,55;9,75;13;
919;Cable;Magic World;Industrial;18,43;11;13;
920;The Plot In You;Happiness In Self Destruction;Metalcore;61,54;8,75;1;1,4
921;Heart Of A Coward;The Disconnect;Metalcore;37,11;8,5;1;1,4
922;Azymuth;Light As A Feather;Jazz/ Funk;87,03;9,9;7,3;
923;Breathing Theory;Parasite;Metalcore;24,48;8,75;1;1,4
924;Man Man;Life Fantastic;Experimental;42,27;10;13;
925;Fractured;Only Human Remains;Syntwave/ Industrial;57,31;9;11;
926;Imbaru;Trukur;Neofolk;47,34;10;8;
927;Bestiario;Este Infierno;Neofolk/ Punk;44,43;9;8;
928;The Dead Pirates;Highmare;Stoner Rock;56,24;10,1;5;5,3
929;Bloodwood;Rakshak;Folk Metal;47,18;10,1;1,8;1,9
930;Empty;Surfacing;Eletrìnica/ Industrial;74,00;8,75;13;
931;Macroblank;Missing;Vaporwave;57,41;8,25;13;
932;Goryo;Selftitled;Folk;34,09;8;8;
933;Allegaeon;Apoptosis;Technical Melodic Death Metal;56,24;8;1;1,1
934;Sleep Token;This Place Will Become Your Tomb;Post Metalcore;52,12;9,9;1;1,9
935;Reaper;Angst;Techno;40,30;6,5;13;
936;1914;The Blind Leading The Blind;Black Metal;56,12;7,75;1;1,8
937;Origin Of Escape;Shapes;Progressive Metal;47,56;7;1;1,3
938;Jimmy Edgar;XXX;Experimental;60,38;8;13;
939;Mcbaise;Windowsill;Vaporwave;45,28;10,5;13;
940;King Gizzard And The Lizard King;Polygondwanaland;Progressive/ Stoner Rock;43,52;8;5;5,3
941;Belzebubs;Pantheon Of The Nightside Gods;Melodic Black Metal;61,44;10,1;1;1,8
942;Yuji Toriyama;Transfusion;Jazz Fusion;43,17;10;3;
943;Inferi;Of Sunless Realms;Technical Deathmetal;22,28;10,5;1;1,9
944;Exyz;Akuma;Trap;81,29;8;13;
945;White Ward;False Light;Black Metal Progressivo;66,26;10,5;1;1,8
946;Skeler;Nightdrive;Phonk/ Wave;91,21;9;13;
947;Psychonaut;Unfold The God Man;Death Metal Progressivo;69,21;10,1;1;1,3
948;Oscob;Praise The Sun God;Vaporwave/ Trip Hop;108,02;9;6;6,2
949;Modest By Default;Admissible Vol. 1;Vaporwave;58,53;9,9;13;
950;Memoria Oculta;Time Spirals;Vaporwave/ Trip Hop;37,47;10,5;6;6,2
951;The Kahil El'Zabar Quartet;A Time For Healing;Jazz;77,37;9,5;3;
952;Return To Forever;Romantic Warrior;Rock Progressivo;45,43;10;5;5,1
953;Nu Genea;Bar Mediterraneo;Jazz Fusion;31,41;10,5;3;
954;Lalalar;Bi Cinnete Bakar;Experimental;70,12;10,1;13;
955;Neptunian Maximalism;Eons;Experimental;128,05;10,1;13;
956;Otay:onii;Ming Ming;Experimental;36,54;7,5;13;
957;Idris Ackamoor & The Pyramids;Shaman!;Jazz Fusion;75,10;10,5;3;
958;Dengue Dengue Dengue;Semillero;Experimental;29,26;11;13;
959;Submotion Orchestra;The Finest Hour;Dub;65,43;8,5;13;
960;Ichiko Aoba;Windswept Adan;Folk;50,03;9,25;8;
961;Wumpscut;Embryodead;Industrial;50,19;7,5;13;
962;Sufjan Stevens;The Age Of Adz;Indie/ Pop;74,59;9;13;
963;Getatchew Mekuria & The Ex & Guests;Moa Anbessa;Jazz Fusion;61,58;9,5;3;
964;Revocation;Netherheaven;Technical Death Metal;44,48;8,25;1;1,9
965;The Roots;Game Theory;Hip Hop/ Rap;50,54;10,5;2;2,1
966;Boundaries;Your Receding Warmth;Hardcore/ Deathcore;32,40;10,5;4;4,2
967;Alpha Wolf;Mono;Deathcore;34,17;9,25;4;4,2
968;The Mars Volta;The Bedlam In Goliath;Rock Progressivo;79,29;11;5;5,1
969;ZHU;Dreamland;House;72,30;8,25;13;
970;Namadzu;Hagakure;Hip Hop;16,10;9,5;2;
971;Hard To Remember;System 5000;Synthwave;61,11;8,5;13;
972;House Of Pain;Same As It Ever Was;Hip Hop/ Rap;51,23;10,5;2;2,1
973;ELIXI7R;End Of Beginning;DnB;22,60;8,5;13;
974;Vildhjarta;Masstaden Under Vatten;Progressive Death Metal;80,08;9;1;1,3
975;Fallujah;Empyrean;Progressive Death Metal;52,13;11;1;1,3
976;Pharoahe Monch;Internal Affairs;Hip Hop/ Rap;54,05;7,75;2;2,1
977;Scarlet Meridian;The Owl Keeper;Melodic Death Metal;24,25;9;1;1,1
978;How To Desappear Completely;Seraphin;Ambiente;99,37;7;13;
979;Eldest 11;Worst Part Of A Decade;Alternative Metal;40,52;7,5;1;1,9
980;Sirface;For Reasons Unknow;Alternative Metal;45,00;7,5;1;1,9
981;Psycada;Hiking Lung;Rock Progressivo;32,30;8;5;5,1
982;Bajoxtierra;Repentance;Alternative Metal/ Industrial;36,15;8,25;1;1,9
983;Dr. Gabba;Planet Piano;House/ Internetcore;26,48;7,5;13;
984;Ro;Virtual World Maniac;Breakcore;46,30;7,25;13;
985;Boneless Terror;Rotten Minds;Trap;22,38;7,75;2;
986;An Abstract Illusion;Woe;Progressive Death Metal;59,55;9,75;1;1,9
987;Nightshift;Slow + Reverb, Vol. 1;Vaporwave;33,35;10;13;
988;Epsyle;Kabbalah Criminal;Breakcore/ Internetcore;40,08;10;13;
989;RUDE;Eternal Youth;Hip Hop;52,39;10,25;2;2,3
990;DVRST;Circlusion;Ambiental/ Industrial;38,46;10;13;
991;Ikiru;Bxrn Tx Die;Phonk/ Wave;21,56;9;13;
992;Hohenheim;Phantasmata;Ambiental/ Industrial;60,05;7,25;13;
993;Tallah;The Generation Of Danger;Nu Metal;57,55;9;1;1,9
994;Chill-E Beats;Finesse & Grace;Trap;28,22;8,75;2;2,3
995;Nanikacira;Wander;J-Rock;21,55;8;5;
996;Bìa;Twilight;Rock;59,24;10,5;5;
997;Metaroom;Dog Bus Remixes;Breakcore/ Internetcore;20,22;10;13;
998;King's Field IV;OST;Soundtrack;64,33;8;12;
999;Samurai Drive;Selftitled;Pos Punk;41,34;10;13;
1000;Grim Salvo;Mildred;Trap/ Nu Metal;37,09;11;1;1,9
1001;Tzusing;Undefeated East;Techno;32,35;11;13;
1002;The Future Sound Of London;Yage;Trip Hop;52,40;10;6;6,2
1003;Soul Blind;Fell It All Around;Post Nu Metal;38,29;9,5;1;1,9
1004;A Poor Man's Poison;Providence;Bluegrass;43,10;9,25;13;
1005;City;A Goal Is An Image;Eletrìnica/ Experimental;35,57;9,9;13;
1006;Verti_dx;Zerai 3 Conduit Verse;Breakbeat;33,41;10;13;
1007;Vertigoaway;Beisolhof Vol. 2;Breakbeat;33,02;11;13;
1008;Fleshgod Apocalypse;King;Death Metal;57,29;9;1;1,13
1009;Archspire;Bleed The Future;Death Metal TÇcnico;31,34;10;1;1,13
1010;Fleshwater;We're Not Here To Be Loved;Post Hardcore;27,60;9;4;
1011;Magnavolt;Gen One////Slowed Reverb;Synthwave;37,28;9;11;
1012;Gabber Modus Operandi;PUXXXIMAXXX;Techno/ Industrial;36,46;10;13;
1013;The Crane Wives;Foxclore;Folk;42,00;7;8;
1014;Bohren E Der Club Of Gore;Midnight Radio;Ambiente;145,22;9;13;
1015;Narrow Head;12th House Rock;Post Hardcore;47,31;8,75;4;
1016;.Akime;Biggest Mistake In My Life;Phonk/ Wave;15,23;10;13;
1017;The Death Particle;Epitaph;Jazz Fusion;59,42;10;3;
1018;Paleface Swiss;Fear And Dagger;Hardcore;66,57;7,5;4;
1019;Charanjit Singh;Tem Ragas To A Disco Beat;Eletrìnica/ Experimental;46,45;8;13;
